topico,numero,pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,resposta
PROTOZOÁRIOS,1,Qual sistema é preferencialmente afetado pela *Leishmania* sp no organismo do hospedeiro?,Sistema digestório,Sistema nervoso,Sistema urinário,Sistema imune,,D
PROTOZOÁRIOS,2,Quais são as duas formas evolutivas apresentadas pela *Leishmania* sp?,Amastigota e tripomastigota,Amastigota e promastigota,Epimastigota e promastigota,Tripomastigota e epimastigota,,B
PROTOZOÁRIOS,3,"No Brasil, qual é o principal vetor da *Leishmania chagasi*, também conhecido como mosquito-palha?",*Lutzomyia longipalpis*,*Stomoxys calcitrans*,*Triatoma infestans*,*Lutzomyia cruzi*,,A
PROTOZOÁRIOS,4,A PCR é uma ferramenta útil para o diagnóstico da leishmaniose. Qual dos materiais a seguir é mais indicado para essa técnica?,Plasma,Soro,Sangue total,Aspirado de linfonodo,,D
PROTOZOÁRIOS,5,Quais são as principais espécies de *Leishmania* encontradas no Brasil associadas à leishmaniose?,"*Leishmania braziliensis*, *L. amazonensis* e *L. infantum*","*L. infantum*, *L. lainsoni* e *L. braziliensis*","*L. amazonensis*, *L. braziliensis* e *L. naiffi*","*L. braziliensis*, *L. amazonensis* e *L. lainsoni*",,A
PROTOZOÁRIOS,6,A *Leishmania* sp apresenta duas formas evolutivas: amastigota e promastigota. Relacione corretamente cada forma com o local onde é encontrada:,A forma amastigota é encontrada no intestino médio do vetor.,A forma promastigota é encontrada apenas no hospedeiro vertebrado.,"A forma promastigota é encontrada no intestino médio do vetor, e a forma amastigota no interior de macrófagos do hospedeiro vertebrado.",A forma amastigota é encontrada no intestino posterior do vetor.,,C
PROTOZOÁRIOS,7,A principal forma de transmissão da Leishmaniose Visceral Canina no Brasil é:,Picada de flebotomíneos infectados,Transmissão transplacentária,Contato com secreções orais,Mordedura entre cães infectados,,A
PROTOZOÁRIOS,8,Qual dos sinais clínicos abaixo é mais característico em cães com leishmaniose visceral?,Diarreia profusa e aguda,"Uveíte, epistaxe e onicogrifose",Convulsões e claudicação,Hipertermia com vômitos,,B
PROTOZOÁRIOS,9,"A respeito do controle da leishmaniose visceral canina, é CORRETO afirmar:",A vacina substitui o uso de coleiras repelentes,O diagnóstico é feito apenas por exame clínico,A transmissão ocorre apenas em áreas rurais.,O uso de inseticidas e coleiras repelentes faz parte da estratégia de controle,,D
PROTOZOÁRIOS,10,"Este protozoário apresenta uma estrutura rica em DNA mitocondrial, conhecida por ser densamente corada e visível à microscopia de luz, especialmente na forma tripomastigota. Essa estrutura é característica do *Trypanosoma* sp. Trata-se da estrutura:",Bodônia,Cinetoplasto,Micronúcleo,Vacúolo contrátil,Axonema,B
PROTOZOÁRIOS,11,"O principal vetor do Trypanosoma cruzi, agente etiológico da Doença de Chagas, é:",*Glossina spp.*,*Triatoma infestans*,*Stomoxys calcitrans*,*Haematobia irritans*,*Tabanus spp.*,B
PROTOZOÁRIOS,12,A transmissão mecânica é uma característica importante na epidemiologia de qual das seguintes espécies de Trypanosoma?,*Trypanosoma cruzi*,*Trypanosoma brucei*,*Trypanosoma evansi*,*Trypanosoma rangeli*,*Trypanosoma equiperdum*,C
